Species,Nearshore_Offshore,Benthic_Pelagic,Depth_m,Length_mm,H2Opercent,THg_ppb,Cd_ppm,Cr_ppm,Cu_ppm,Mg_ppm,Mn_ppm,Pb_ppm,Zn_ppm
Alewife,Offshore,Pelagic,18,161,0.838412843,79.5,1.937282472,59.9018932,198.0971954,102532.6496,184.8622564,-10.4263242,3762.549539
Bloater,Nearshore,Benthic/Pelagic,55,100,0.782534627,26.55,2.060482584,41.36525755,131.0645611,101149.9716,129.1247162,-8.576573547,783.3509693
Alewife,Offshore,Pelagic,18,82,0.76187163,3.19,2.183177372,36.57196619,229.4259432,114847.654,106.5538768,-6.206716106,1949.819314
Bloater,Nearshore,Benthic/Pelagic,110,240,0.766899469,179.97,2.221033355,69.53100209,74.8582005,90977.42596,54.65108786,-8.902638484,862.5802641
Alewife,Offshore,Pelagic,46,131,0.772644034,29.74,2.251812647,23.64202178,175.0454199,76690.48307,83.86434319,-1.036433999,2407.716838
Alewife,Offshore,Pelagic,46,140,0.739606489,39.41,2.265866016,117.4399223,110.0504369,42972.0323,67.20707677,12.19467918,639.397432
Alewife,Offshore,Pelagic,10,141,0.784985,55.29,2.269647931,27.69434317,149.5623458,104828.3358,124.5717638,2.570214452,1081.161322
Alewife,Offshore,Pelagic,18,96,0.730402542,6.79,2.280275852,23.41946828,208.7228326,88149.91383,81.51147903,-1.539097866,1759.863816
Deepwater Sculpin,Offshore,Benthic,110,85,0.804479204,42.13,2.311948372,159.9816038,106.1488261,99048.36611,165.9531555,13.09552545,596.8453315
Alewife,Offshore,Pelagic,18,85,0.745364473,6.61,2.367840683,23.50289097,197.9114442,85269.57776,91.08614833,-0.290495529,1532.750964
Alewife,Offshore,Pelagic,46,145,0.761498924,29.58,2.379833846,19.38821438,132.1123464,87919.5737,60.82882976,-2.882229611,1669.060797
Alewife,Offshore,Pelagic,10,164,0.815696203,48.93,2.392512441,21.60681257,187.0302042,89871.5195,83.76732232,-3.33359353,4151.104722
Alewife,Offshore,Pelagic,18,140,0.81757513,65.32,2.405991651,27.05586183,170.1170171,105220.2383,153.1800905,-4.486611241,2297.723476
Alewife,Offshore,Pelagic,46,140,0.772643838,41.72,2.500527468,22.0965024,156.3487784,92251.93146,59.19419182,0.423501904,1257.093347
Deepwater Sculpin,Offshore,Benthic,91,101,0.802294888,121.26,2.511400783,39.62887256,61.88596386,94675.98228,112.2033968,-3.035598256,1152.725526
Rainbow Smelt,Offshore,Pelagic,18,110,0.807074812,24.44,2.51161482,119.7970161,34.06177338,66248.5583,40.95582195,-2.847663726,1617.561439
Alewife,Offshore,Pelagic,46,153,0.733542423,42.97,2.561245065,28.41266531,118.5826067,59820.5206,57.64616715,-0.834216919,1721.578359
Deepwater Sculpin,Offshore,Benthic,110,110,0.806159516,124.67,2.580250179,100.1434743,48.43909429,63209.2673,87.88629015,-9.731683642,719.2164693
Deepwater Sculpin,Offshore,Benthic,110,111,0.808651303,107.47,2.599096894,67.30150992,75.50931906,87278.69534,135.403553,8.922619953,1556.39783
Rainbow Smelt,Offshore,Pelagic,18,106,0.800370175,7.01,2.60550144,82.21202166,58.94601541,108071.4128,49.99832901,-0.726292583,1255.246747
Alewife,Offshore,Pelagic,18,86,0.774501661,5.59,2.639297807,26.33359478,210.329053,91760.6294,78.55851993,-3.430420523,1738.983604
Bloater,Nearshore,Benthic/Pelagic,110,229,0.777140074,127.5,2.640038004,48.66989432,75.94783087,87395.85604,67.4566831,-7.447715628,880.5603668
Alewife,Offshore,Pelagic,18,138,0.840637255,114.84,2.650062039,34.26583827,123.486937,113677.109,172.388824,3.233257103,2493.224887
Bloater,Nearshore,Benthic/Pelagic,110,192,0.769903543,120.61,2.690503373,57.24718164,82.24756628,88865.37536,72.64892208,-3.642090193,1043.237988
Slimy Sculpin,Offshore,Benthic,110,97,0.804254963,123.42,2.756504813,56.72293877,118.4118954,85615.20367,119.8378597,-0.412921609,1147.352135
Bloater,Nearshore,Benthic/Pelagic,110,200,0.781442864,83.23,2.758421748,23.72030668,105.8032219,99717.50327,87.92719527,-8.886292757,897.646169
